,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,category,category,category,category,category,category,category,category,category,category,category,category,category,category,category,num,del_flag
,112.ua,24tv.ua,apostrophe.ua,babel.ua,bykvu.com,espreso.tv,fakty.com.ua,fakty.ua,focus.ua,gazeta.ua,glavcom.ua,golos.ua,gordonua.com,https://censor.net.ua,https://dt.ua/,https://hromadske.ua/,https://politeka.net/uk,https://ua.interfax.com.ua,https://ua.korrespondent.net/,https://ukr.lb.ua,https://ukranews.com,https://www.epravda.com.ua,https://www.liga.net,https://www.obozrevatel.com,https://www.pravda.com.ua,https://www.rbc.ua,https://www.segodnya.ua/ua,https://www.unian.ua,kp.ua,nv.ua,strana.ua,suspilne.media,telegraf.com.ua,tsn.ua,ukrinform.ua,vesti.ua,vgolos.com.ua,www.radiosvoboda.org,www.unn.com.ua,zaxid.net,zik.ua,znaj.ua,Інциденти,Інше,Війна/Донбас,Економіка,Життя/lifestyle,Карантин,Коронавірус,Міжнародна політика,Погода,Політика,Світ,Спорт,Суспільство,Технології,Шоу-бізнес,,
Олександр Охріменк,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,7.0,6.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,8.0,3.0,6.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,56.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,74.0,False
Андр Шевчишин,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,18.0,0.0,5.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,False
Серг Корол,2.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,0.0,5.0,4.0,0.0,0.0,1.0,1.0,3.0,3.0,6.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,6.0,43.0,0.0,71.0,False
Анатол Штефан,1.0,10.0,1.0,0.0,3.0,3.0,0.0,2.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,3.0,7.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,27.0,1.0,1.0,70.0,False
Вітал Шабунін,0.0,15.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,8.0,6.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,70.0,False
Едд Хірн,0.0,18.0,1.0,0.0,0.0,9.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,4.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,68.0,False
Русла Бизя,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,14.0,0.0,0.0,5.0,21.0,0.0,19.0,1.0,0.0,1.0,0.0,0.0,67.0,False
Юр Шпараг,2.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,15.0,4.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,63.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,False
Вад Зайцев,0.0,7.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,18.0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,5.0,0.0,0.0,0.0,1.0,67.0,False
Ігор Мосійчук,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,6.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,7.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,3.0,0.0,37.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,6.0,0.0,1.0,67.0,False
Юр Расюк,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,9.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,3.0,4.0,5.0,0.0,3.0,1.0,0.0,4.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,58.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,66.0,False
Володимир Гройсман,1.0,3.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,1.0,7.0,1.0,5.0,0.0,1.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,2.0,0.0,1.0,66.0,False
