,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,domain,category,category,category,category,category,category,category,category,category,category,category,category,category,category,category,num,del_flag
,112.ua,24tv.ua,apostrophe.ua,babel.ua,bykvu.com,espreso.tv,fakty.com.ua,fakty.ua,focus.ua,gazeta.ua,glavcom.ua,golos.ua,gordonua.com,https://censor.net.ua,https://dt.ua/,https://hromadske.ua/,https://politeka.net/uk,https://ua.interfax.com.ua,https://ua.korrespondent.net/,https://ukr.lb.ua,https://ukranews.com,https://www.epravda.com.ua,https://www.liga.net,https://www.obozrevatel.com,https://www.pravda.com.ua,https://www.rbc.ua,https://www.segodnya.ua/ua,https://www.unian.ua,kp.ua,nv.ua,strana.ua,suspilne.media,telegraf.com.ua,tsn.ua,ukrinform.ua,vesti.ua,vgolos.com.ua,www.radiosvoboda.org,www.unn.com.ua,zaxid.net,zik.ua,znaj.ua,Інциденти,Інше,Війна/Донбас,Економіка,Життя/lifestyle,Карантин,Коронавірус,Міжнародна політика,Погода,Політика,Світ,Спорт,Суспільство,Технології,Шоу-бізнес,,
Серг Костенк,1.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,3.0,5.0,3.0,0.0,0.0,0.0,4.0,3.0,1.0,5.0,0.0,0.0,1.0,4.0,0.0,1.0,4.0,2.0,7.0,3.0,4.0,0.0,8.0,7.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,74.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,85.0,False
Энтон Блинк,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,9.0,18.0,4.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,67.0,0.0,5.0,7.0,0.0,0.0,1.0,0.0,85.0,False
Микол Кулеб,0.0,7.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,4.0,2.0,0.0,8.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0,7.0,2.0,0.0,2.0,2.0,6.0,2.0,0.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,8.0,4.0,0.0,6.0,57.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,3.0,2.0,4.0,85.0,False
Серг Притул,1.0,9.0,1.0,1.0,0.0,2.0,1.0,5.0,4.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,1.0,7.0,1.0,0.0,2.0,2.0,6.0,3.0,4.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,0.0,0.0,3.0,0.0,16.0,84.0,False
Геннад Боголюб,1.0,3.0,0.0,1.0,5.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,1.0,0.0,3.0,2.0,4.0,1.0,2.0,3.0,6.0,4.0,2.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,4.0,1.0,0.0,8.0,1.0,0.0,56.0,0.0,0.0,0.0,5.0,0.0,8.0,1.0,0.0,3.0,0.0,0.0,82.0,False
Яросл Кучер,3.0,2.0,0.0,1.0,0.0,2.0,5.0,0.0,2.0,0.0,3.0,5.0,0.0,3.0,1.0,0.0,4.0,4.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,4.0,6.0,3.0,2.0,3.0,0.0,1.0,8.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,0.0,7.0,0.0,0.0,13.0,1.0,0.0,82.0,False
Олександр Турчин,4.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,6.0,1.0,6.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,10.0,3.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,62.0,4.0,0.0,4.0,0.0,0.0,82.0,False
Олег Сенц,1.0,15.0,2.0,0.0,4.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,3.0,2.0,8.0,2.0,0.0,1.0,3.0,3.0,5.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,28.0,0.0,0.0,26.0,0.0,19.0,79.0,False
Олег Ляшк,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,6.0,3.0,4.0,5.0,5.0,0.0,0.0,1.0,2.0,9.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,9.0,1.0,0.0,10.0,1.0,0.0,48.0,3.0,0.0,3.0,0.0,2.0,79.0,False
Віктор Ющенк,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,6.0,3.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,10.0,0.0,1.0,2.0,1.0,4.0,4.0,2.0,0.0,2.0,2.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,15.0,0.0,32.0,78.0,False
